模型,全名,预测速度,训练速度, 验证表现,,,,,,
,,,,roc_auc,accuracy,balanced_accuracy,mcc,f1,precision,recall
XGB,XGBoost极端梯度提升,4.66E-06,21.027789,0.999976734929262,0.998823242638962,0.998822745001847,0.997647948797153,0.99882493159423,0.997970547784374,0.999680779569892
RF,Random forest随机森林,4.39E-06,29.013025,0.99998222252879,0.99968899984029,0.9996890143604,0.999378000760492,0.999689172274166,0.999714367,0.999663978494
GBM,LightGBM轻度梯度提升机,2.59E-06,1.623332,0.9999256182703,0.99746156626404,0.997460756174371,0.994926996586574,0.997466570474641,0.99607948262574,0.99885752688172
CAT,CatBoost分割梯度提升,2.43E-06,78.636754,0.999984720180693,0.998789621000075,0.9987892111001,0.997580233819218,0.998791175581747,0.998087376686128,0.999495967741936
XT,extremely randomized trees极度随机树,4.78E-06,37.402977,0.999999225948341,0.999588134923637,0.999588051911549,0.999176310236298,0.999588432431524,0.999445722827821,0.99973118279569
NN,neural network implemented in Pytorch,9.79E-06,26.301223,0.998991646945446,0.98793823704936,0.987934825426849,0.97594368422799,0.988015600597967,0.982281339776482,0.993817204301075
,,,,,,,,,,
XGB,XGBoost极端梯度提升,6.44866835688149E-06,23.495488,0.999976712038358,0.99882324263,0.99882274500184,0.99764794879715,0.998824931594232,0.9979705477843,0.99968077956989
RF,Random forest随机森林,4.39E-06,29.013025,0.99998222252879,0.99968899984029,0.9996890143604,0.999378000760492,0.999689172274166,0.999714367,0.999663978494
GBM,LightGBM轻度梯度提升机,4.95138741560792E-06,1.238963,0.9999811887642,0.998907296736,0.9989069258,0.997815405496348,0.998908626884718,0.998271696086985,0.999546370967742
CAT,CatBoost分割梯度提升,4.01379340714875E-06,55.020352,0.999984449446304,0.99881483722924,0.9988144419625,0.9976305966764,0.998816329614426,0.99813761514,0.99949596774193
XT,extremely randomized trees梯度随机树,4.78E-06,37.402977,0.999999225948341,0.999588134923637,0.999588051911549,0.999176310236298,0.999588432431524,0.999445722827821,0.99973118279569
NN,neural network implemented in Pytorch,1.86641020025784E-05,274.626073,0.999858080638107,0.995528322028057,0.9955271797,0.991064288699739,0.995539681741201,0.993590387254,0.99749663978494
,,,,,,,,,,
1层sttacking,,,,,,,,,,
XT+RF,,9.40952085715003E-06,80.47907,0.999999381663005,0.999672189020853,0.99967217428584,0.999344379072883,0.999672387288627,0.9996471952018,0.999697580645161
,,,,,,,,,,
,,,,,,,,,,
2层sttacking,,,,,,,,,,
XT+RF,,1.78193153436306E-05,131.288969,0.999999569735,0.99973943229,0.99973945658,0.999478867978073,0.999739572394674,0.99978156767201,0.999697580645161
